2026-07-21 12:19:43.669 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.Configuration.Abstractions.4ascqjkgzo.wasm responded 200 in 1.0251 ms
2026-07-21 12:19:43.684 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.Configuration.Json.iitlxos134.wasm responded 200 in 1.3919 ms
2026-07-21 12:19:43.684 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.Configuration.xnovko9l24.wasm responded 200 in 1.1254 ms
2026-07-21 12:19:43.693 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.DependencyInjection.Abstractions.yd1ay0fi8e.wasm responded 200 in 1.2198 ms
2026-07-21 12:19:43.697 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.DependencyInjection.pdq83eroqe.wasm responded 200 in 1.1217 ms
2026-07-21 12:19:43.697 +05:30 [INF] HTTP GET /blazor/_framework/dotnet.native.u31nt9bth6.wasm responded 200 in 93.7186 ms
2026-07-21 12:19:43.706 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.Diagnostics.Abstractions.xnj79tmbo0.wasm responded 200 in 1.1785 ms
2026-07-21 12:19:43.706 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.Logging.Abstractions.y6p42azzz6.wasm responded 200 in 0.9933 ms
2026-07-21 12:19:43.706 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.Diagnostics.ea9jzo65mq.wasm responded 200 in 1.1522 ms
2026-07-21 12:19:43.713 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.Logging.oc34nf9cyn.wasm responded 200 in 1.9665 ms
2026-07-21 12:19:43.734 +05:30 [INF] HTTP GET /blazor/_framework/System.Private.CoreLib.5vpzr8wtwn.wasm responded 200 in 119.8342 ms
2026-07-21 12:19:43.735 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.JSInterop.n4v9gvxr8f.wasm responded 200 in 0.9610 ms
2026-07-21 12:19:43.735 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.Primitives.072etlnfwu.wasm responded 200 in 1.0474 ms
2026-07-21 12:19:43.735 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.JSInterop.WebAssembly.cbdj3f5i9f.wasm responded 200 in 1.0707 ms
2026-07-21 12:19:43.736 +05:30 [INF] HTTP GET /blazor/_framework/Microsoft.Extensions.Options.sbfmpxwipp.wasm responded 200 in 1.1262 ms
2026-07-21 12:19:43.767 +05:30 [INF] HTTP GET /blazor/_framework/System.cvgusyd4es.wasm responded 200 in 1.1383 ms
2026-07-21 12:19:43.767 +05:30 [INF] HTTP GET /blazor/_framework/System.Collections.Specialized.lb8f9a52bp.wasm responded 200 in 0.6887 ms
2026-07-21 12:19:43.767 +05:30 [INF] HTTP GET /blazor/_framework/System.Collections.Concurrent.77phykr4at.wasm responded 200 in 0.9479 ms
2026-07-21 12:19:43.768 +05:30 [INF] HTTP GET /blazor/_framework/System.Collections.NonGeneric.2eqo4m9rgn.wasm responded 200 in 0.9054 ms
2026-07-21 12:19:43.768 +05:30 [INF] HTTP GET /blazor/_framework/System.Collections.Immutable.44gfb5acbj.wasm responded 200 in 1.0436 ms
2026-07-21 12:19:43.837 +05:30 [INF] HTTP GET /blazor/_framework/System.Collections.zck3bxb7o1.wasm responded 200 in 1.1837 ms
2026-07-21 12:19:43.837 +05:30 [INF] HTTP GET /blazor/_framework/System.ComponentModel.Annotations.boq88iozmf.wasm responded 200 in 1.0069 ms
2026-07-21 12:19:43.837 +05:30 [INF] HTTP GET /blazor/_framework/System.ComponentModel.TypeConverter.1b526pm9er.wasm responded 200 in 1.1369 ms
2026-07-21 12:19:43.837 +05:30 [INF] HTTP GET /blazor/_framework/System.ComponentModel.Primitives.w76hqofemw.wasm responded 200 in 1.2089 ms
2026-07-21 12:19:43.837 +05:30 [INF] HTTP GET /blazor/_framework/System.ComponentModel.j8t4mlscoa.wasm responded 200 in 1.0647 ms
2026-07-21 12:19:43.845 +05:30 [INF] HTTP GET /blazor/_framework/System.Console.lsjpvcu2bc.wasm responded 200 in 1.8344 ms
2026-07-21 12:19:43.873 +05:30 [INF] HTTP GET /blazor/_framework/System.IO.Pipelines.uznrqn6wwr.wasm responded 200 in 1.0658 ms
2026-07-21 12:19:43.874 +05:30 [INF] HTTP GET /blazor/_framework/System.Linq.9acgbvbguy.wasm responded 200 in 1.3610 ms
2026-07-21 12:19:43.874 +05:30 [INF] HTTP GET /blazor/_framework/System.Diagnostics.DiagnosticSource.1vtrwwltdl.wasm responded 200 in 1.9973 ms
2026-07-21 12:19:43.878 +05:30 [INF] HTTP GET /blazor/_framework/System.Memory.dmchb5mcb4.wasm responded 200 in 4.9041 ms
2026-07-21 12:19:43.884 +05:30 [INF] HTTP GET /blazor/_framework/System.Net.Http.Json.0pe15ioa3d.wasm responded 200 in 1.5386 ms
2026-07-21 12:19:43.903 +05:30 [INF] HTTP GET /blazor/_framework/System.Linq.Expressions.rfryxgikk4.wasm responded 200 in 30.1805 ms
2026-07-21 12:19:43.905 +05:30 [INF] HTTP GET /blazor/_framework/System.Runtime.Serialization.Primitives.mdgerqqoz0.wasm responded 200 in 0.7223 ms
2026-07-21 12:19:43.905 +05:30 [INF] HTTP GET /blazor/_framework/System.ObjectModel.71xt2g2ecm.wasm responded 200 in 1.2351 ms
2026-07-21 12:19:43.906 +05:30 [INF] HTTP GET /blazor/_framework/System.Net.Primitives.lomeqtjib9.wasm responded 200 in 1.4403 ms
2026-07-21 12:19:43.906 +05:30 [INF] HTTP GET /blazor/_framework/System.Private.Uri.i8mqnwuuk1.wasm responded 200 in 1.7043 ms
2026-07-21 12:19:43.907 +05:30 [INF] HTTP GET /blazor/_framework/System.Net.Http.0fdnycze5k.wasm responded 200 in 2.6174 ms
2026-07-21 12:19:43.934 +05:30 [INF] HTTP GET /blazor/_framework/System.Runtime.rusd5p4ddi.wasm responded 200 in 1.1965 ms
2026-07-21 12:19:43.934 +05:30 [INF] HTTP GET /blazor/_framework/System.Security.Claims.m1jxgkx449.wasm responded 200 in 0.9590 ms
2026-07-21 12:19:43.934 +05:30 [INF] HTTP GET /blazor/_framework/System.Text.Encodings.Web.9u1rhssy5s.wasm responded 200 in 0.8597 ms
2026-07-21 12:19:43.935 +05:30 [INF] HTTP GET /blazor/_framework/System.Security.Cryptography.2zkzja4hey.wasm responded 200 in 1.3147 ms
2026-07-21 12:19:43.959 +05:30 [INF] HTTP GET /blazor/_framework/System.Text.RegularExpressions.u6eavgzi6w.wasm responded 200 in 1.9001 ms
2026-07-21 12:19:43.964 +05:30 [INF] HTTP GET /blazor/_framework/System.Text.Json.nbcixh40hj.wasm responded 200 in 30.7937 ms
2026-07-21 12:19:43.985 +05:30 [INF] HTTP GET /blazor/_framework/icudt_EFIGS.tptq2av103.dat responded 200 in 19.7622 ms
2026-07-21 12:19:47.159 +05:30 [INF] HTTP GET /angular responded 200 in 2.3711 ms
2026-07-21 12:19:47.231 +05:30 [INF] HTTP GET /api/employees responded 200 in 35.2456 ms
2026-07-21 12:20:17.980 +05:30 [INF] HTTP POST /api/auth/login responded 200 in 364.0973 ms
2026-07-21 12:20:18.012 +05:30 [INF] HTTP GET /api/employees responded 200 in 21.0087 ms
2026-07-21 12:20:20.643 +05:30 [INF] HTTP GET /blazor responded 200 in 1.6830 ms
2026-07-21 12:20:20.666 +05:30 [INF] HTTP GET /blazor/_framework/dotnet.js responded 304 in 1.6950 ms
2026-07-21 12:20:22.566 +05:30 [INF] HTTP GET /blazor/api/employees responded 200 in 2.0407 ms
2026-07-21 12:20:30.459 +05:30 [INF] HTTP GET /angular responded 200 in 1.3683 ms
2026-07-21 12:20:30.471 +05:30 [INF] HTTP GET /angular/main-RMMY7VUV.js responded 304 in 0.7615 ms
2026-07-21 12:20:30.475 +05:30 [INF] HTTP GET /angular/styles-JG7EAGFK.css responded 304 in 0.2909 ms
2026-07-21 12:20:30.499 +05:30 [INF] HTTP GET /api/employees responded 200 in 5.3311 ms
2026-07-21 12:24:24.409 +05:30 [INF] Usage Telemetry: {"id":"f0850000-ee50-a42a-c936-08dee6f4333b","created":"2026-07-21T12:19:23.9154813\u002B05:30","host":{"framework_version":"10.0.10","mass_transit_version":"8.5.10.0","operating_system_version":"Microsoft Windows NT 10.0.26200.0","time_zone_info":"(UTC\u002B05:30) Chennai, Kolkata, Mumbai, New Delhi","commit_hash":"62ab339afa3bac2e9b3fe1769d0d35d7e44778e9"},"bus":[{"created":"2026-07-21T12:19:23.9170626\u002B05:30","configured":"2026-07-21T12:19:24.0859053\u002B05:30","started":"2026-07-21T12:19:24.3494264\u002B05:30","name":"IBus","endpoints":[{"name":"employee.events.Queue","type":"RabbitMQ","prefetch_count":32,"consumer_count":1,"message_count":1},{"name":"_bus_","type":"RabbitMQ","prefetch_count":32}]}]}
2026-07-21 12:51:55.750 +05:30 [INF] HTTP GET /angular/login responded 200 in 15.5782 ms
2026-07-21 14:51:28.476 +05:30 [INF] Application is shutting down...
2026-07-21 14:51:28.698 +05:30 [INF] Bus stopped: "rabbitmq://localhost/"
